CardID,SetNum,SetName,Rarity,RarityCode,CardNumber,Title,Kind,Culture,Twilight,CardType,GameText,WikiID
2U16,2,2 - Mines of Moria,Uncommon,U,16,A Blended Race,Free Peoples,Elven,1,Condition,"To play, spot an Elf. Plays to your support area. Each Uruk-hai is strength -2 and loses all damage bonuses. Discard this condition during the regroup phase.",LOTR-EN02S016.0
12U3,12,12 - Black Rider,Uncommon,U,3,A Clamour of Many Voices,Free Peoples,Dwarven,2,Condition,"Each time a Dwarf wins a skirmish in which you played a event, you may draw a card.",LOTR-EN12S003.0
10R19,10,10 - Mount Doom,Rare,R,19,A Dark Shape Sprang,Shadow,Gollum,0,Event,"If an opponent plays a possession on a companion, play Gollum at twilight cost –2 from your discard pile or hand to suspend the current phase. Begin a skirmish phase involving Gollum and that companion. When it ends, resume the suspended phase.",LOTR-EN10S019.0
17R67,17,17 - Rise of Saruman,Rare,R,67,A Defiled Charge,Shadow,Orc,2,Condition,"To play, exert your mounted Orc. Each time the Free Peoples player assigns a mounted Orc to a companion, he or she must choose to either exert that companion or add .",LOTR-EN17S067.0
18C106,18,18 - Treachery & Deceit,Common,C,106,A Dragon's Tale,Free Peoples,Shire,1,Condition,"Tale. To play, spot a Hobbit. Maneuver: Discard a tale from play to choose a Shadow player who must exert one of his or her minions.",LOTR-EN18S106.0
3R52,3,3 - Realms of the Elf-lords,Rare,R,52,A Fell Voice on the Air,Shadow,Isengard,1,Condition,Shadow: Exert Saruman to play an weather condition from your discard pile. Its twilight cost is -2.,LOTR-EN03S052.0
8C14,8,8 - Siege of Gondor,Common,C,14,A Fool,Free Peoples,Gandalf,3,Event,"At sites 1 to 5, heal Gandalf. At any other site, prevent a Hobbit from being overwhelmed unless his or her strength is tripled.",LOTR-EN08S014.0
8U9,8,8 - Siege of Gondor,Uncommon,U,9,A Grey Ship,Free Peoples,Elven,2,Event,Spot an Elf companion and make the fellowship archery total –X (to a minimum of 0) to heal X unbound companions. You may not use archery special abilities.,LOTR-EN08S009.0
1U251,1,1 - The Fellowship of the Ring,Uncommon,U,251,A Host Avails Little,Shadow,Sauron,3,Event,Search. Maneuver: Spot a Orc and 6 companions to wound a companion (except the Ring-bearer). Do this once for each companion over 5.,LOTR-EN01S251.0
10U108,10,10 - Mount Doom,Uncommon,U,108,A Light in His Mind,Free Peoples,Shire,0,Condition,"Each time you lose initiative, you may spot 2 companions to remove a burden.",LOTR-EN10S108.0
10C110,10,10 - Mount Doom,Common,C,110,A Marvel,Free Peoples,Shire,1,Event,Exert a Hobbit to make another Hobbit strength +3.,LOTR-EN10S110.0
17U15,17,17 - Rise of Saruman,Uncommon,U,15,A New Light,Free Peoples,Gandalf,1,Event,Spell. Spot a Wizard to return a minion to its owner's hand from its owner's discard pile. Reveal that Shadow player's hand and discard a minion from his or her hand.,LOTR-EN17S015.0
8U42,8,8 - Siege of Gondor,Uncommon,U,42,A Path Appointed,Free Peoples,Gondor,1,Condition,Fellowship: Exert a Man and either a companion or a companion to add a token here. Regroup: Remove a token here to discard a minion.,LOTR-EN08S042.0
12R128,12,12 - Black Rider,Rare,R,128,A Promise,Free Peoples,Shire,0,Condition,"While you can spot Frodo and Sam and neither is exhausted, each is strength +1.",LOTR-EN12S128.0
2R112,2,2 - Mines of Moria,Rare,R,112,A Promise,Free Peoples,Shire,0,Condition,"While you can spot Frodo and Sam and neither is exhausted, each is strength +1.",LOTR-EN02S112.0
1U113,1,1 - The Fellowship of the Ring,Uncommon,U,113,A Ranger's Versatility,Free Peoples,Gondor,1,Event,Maneuver: Spot a ranger at a river or forest to exhaust up to 2 minions.,LOTR-EN01S113.0
3U4,3,3 - Realms of the Elf-lords,Uncommon,U,4,A Royal Welcome,Free Peoples,Dwarven,2,Condition,Regroup: Exert a Dwarf ally to heal a Dwarf companion.,LOTR-EN03S004.0
15R182,15,15 - The Hunters,Rare,R,182,A Shadow Fell Over Them,Shadow,Ringwraith,1,Condition,"Each time a Nazgûl wins a skirmish, you may exert 2 Nazgûl (or a Nazgûl twice) to add a threat. Assignment: Spot a Nazgûl and remove to play a Nazgûl from your discard pile.",LOTR-EN15S182.0
0W30,0,0 - Promotional,W,W,30,A Shadow Rises,Shadow,Ringwraith,0,Condition,"Maneuver: Remove to make this condition a fierce minion until the start of the regroup phase that has 10 strength and 3 vitality, and cannot bear other cards. This card is still a condition. At the start of the regroup phase, remove all tokens from here.",LOTR-EN00W030.0
11R216,11,11 - Shadows,Rare,R,216,A Shadow Rises,Shadow,Ringwraith,0,Condition,"Maneuver: Remove to make this condition a fierce minion until the start of the regroup phase that has 10 strength and 3 vitality, and cannot bear other cards. This card is still a condition. At the start of the regroup phase, remove all tokens from here.",LOTR-EN11S216.0
1U316,1,1 - The Fellowship of the Ring,Uncommon,U,316,A Talent for Not Being Seen,Free Peoples,Shire,0,Condition,"Stealth. To play, exert a Hobbit. Plays to your support area. Each time the fellowship moves, spot 2 Hobbit companions to make the Shadow number -1 (or spot 4 to make it -2).",LOTR-EN01S316.0
11U175,11,11 - Shadows,Uncommon,U,175,A Task Now to Be Done,Free Peoples,Shire,0,Event,Spot X Hobbits to make an unbound Hobbit resistance +X.,LOTR-EN11S175.0
1R87,1,1 - The Fellowship of the Ring,Rare,R,87,A Wizard Is Never Late,Free Peoples,Gandalf,1,Event,Fellowship: Play a character from your draw deck.,LOTR-EN01S087.0
30S23,30,30 - The Hobbit Draft Game: Main Deck,Starter,S,23,A Wizard Is Never Late,Free Peoples,Gandalf,1,Event,Play Gandalf or an ally (except a Dwarf) from your draw deck or discard pile.,HDG-EN30S023.0
13U185,13,13 - Bloodlines,Uncommon,U,185,Abandoned Mine Shaft,None,Site,,Site,"Underground. If this site is not in region 1 when the fellowship moves from here during the regroup phase, add a burden.",LOTR-EN13S185.0
3C49,3,3 - Realms of the Elf-lords,Common,C,49,Abandoning Reason for Madness,Shadow,Isengard,1,Event,Shadow: Spot an minion to discard up to 3 cards from hand and draw an equal number of cards.,LOTR-EN03S049.0
12R81,12,12 - Black Rider,Rare,R,81,Abiding Evil,Shadow,Orc,0,Event,Spot X burdens to make a character skirmishing an Orc strength –X.,LOTR-EN12S081.0
